id,inventory_id,inspection_id,inspection_type,engine_starts_properly,engine_starts_properly_notes,engine_idles_properly,engine_idles_properly_notes,engine_noise,engine_noise_notes
33990473,726836,291360,auction,,,,,fail,Belt Noise
33991371,720867,291354,auction,,,,,fail,ABNORMAL NOISE
33991376,729152,291375,auction,,,,,fail,ABNORMAL NOISE
33992658,726004,291381,auction,,,fail,Idling Unstable,fail,Knocking Noise
34000221,726748,291474,auction,,,,,fail,ABNORMAL NOISE
34001985,724366,291503,auction,,,,,fail,ABNORMAL NOISE ( CANT JUSTIFIED WHAT NOISE )
34003869,729162,291430,auction,,,,,fail,HUMMING AND BELTING NOISE
34003904,729324,291500,auction,,,,,fail,HUMMING NOISE
34004936,721939,291535,auction,,,,,fail,ROUGH NOISE
34005957,726523,291547,auction,,,,,fail,ABNORMAL NOISE
34019876,728710,291653,auction,fail,hard to start,fail,idle not stable,fail,rough noise
34021759,729676,291728,auction,fail,Hard To Start ( SUGGEST REPAIR ),fail,Idling Unstable ( SUGGEST REPAIR),fail,Belt Noise
34022152,726870,291730,auction,,,,,fail,"BELT NOISE, TICKING NOISE"
34061790,727990,292079,auction,,,fail,Idling Unstable,fail,GOT HUMMING NOISE
34096104,730130,292425,auction,,,fail,Missfiring,fail,Rough and Knocking Noise
34097373,726608,292430,auction,,,,,fail,ABNORMAL NOISE
34097386,726608,292430,auction,,,,,fail,ABNORMAL NOISE
34098426,724043,292446,auction,,,,,fail,GOT SQUEEKING NOISE ( CANNOT JUSTIFY WHAT NOISE )
34099883,728743,292458,auction,fail,Hard To Start,,,fail,ABNORMAL NOISE
34099892,728743,292458,auction,fail,Hard To Start,,,fail,ABNORMAL NOISE
34103231,729652,292495,auction,,,,,fail,GOT ABNORMAL KNOCKING NOISE (CANNOT JUSTIFY WHAT NOISE)
34104252,729538,292489,auction,,,fail,IDLING UNSTABLE,,
34105164,730189,292524,auction,,,,,fail,Knocking Noise
34110197,729466,292573,auction,fail,Hard To Start,,,fail,rough noise
34113865,731051,292624,auction,,,,,fail,DIESEL NOISE
34126824,730940,292740,auction,fail,Hard To Start,fail,Missfiring,fail,Knocking Noise
34127105,725416,292765,auction,fail,Hard To Start,,,fail,Belt Noise WHEN TURN STEERING
34130581,728451,292795,auction,,,,,fail,"BELT NOISE , TICKING NOISE"
34140616,728684,292902,auction,,,,,fail,"BELT NOISE, TICKING NOISE"
34148038,731667,292933,auction,,,fail,IDLING UNSTABLE,,
34179874,728355,293216,auction,,,,,fail,ROUGH NOISE
34180578,729764,292987,auction,,,fail,UNSTABLE & VIBRATE,fail,KNOCKING & HUMMING NOISE
34180632,729767,293142,auction,,,fail,UNSTABLE & VIBRATE,,
34180712,726159,293230,auction,,,fail,Idling Unstable,fail,Belt Noise
34182277,730800,293248,auction,,,,,fail,ABNORMAL NOISE CANNOT IDENTIFY WHAT NOISE
34182301,729367,293250,auction,,,,,fail,-ENGINE GOT ROUGH NOISE
34182314,730824,293251,auction,,,,,fail,ABNORMAL NOISE
34182534,731964,293237,auction,,,,,fail,Abnormal noise
34182644,731615,293255,auction,,,,,fail,rough noise & ticking noise
34183495,729869,293270,auction,,,,,fail,"BELT NOISE , TICKING NOISE"
34184456,731085,293287,auction,,,,,fail,ABNROMAL NOISE
34184980,731540,293295,auction,,,fail,ABNORMAL VIBRATE,fail,ABNORMAL NOISE
34185316,730405,293299,auction,,,,,fail,ABNORMAL NOISE
34186097,727811,293282,auction,,,,,fail,"BELT NOISE,HUMMING NOISE AND KNOCKING NOISE (SUGGEST REPAIR)"
34189034,727891,293341,auction,fail,Hard To Start,,,fail,abnormal noise & TICKING NOISE
34193738,732070,293312,auction,,,,,fail,Abnormal noise
34195162,728668,293412,auction,fail,Hard To Start,fail,"Idling Unstable , SUGGEST REPAIR",fail,Knocking Noise
34195538,729938,293418,auction,,,,,fail,ABNORMAL NOISE
34195874,728918,293420,auction,,,,,fail,ABNORMAL NOISE
34199256,729474,293448,auction,,,,,fail,ROUGH NOISE
34202815,731675,293463,auction,,,,,fail,BELT NOISE AND HUMMING NOISE
34204564,732122,293453,auction,,,,,fail,ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
34208393,731838,293426,auction,fail,HARD TO START,,,,
34208719,724966,293536,auction,,,,,fail,got noise can’t identify what noise
34208738,731317,293539,auction,,,,,fail,Knocking Noise
34211168,732245,293586,auction,,,,,fail,GOT ABNORMAL SQUEEKS NOISE (CAN'T JUSTIFY WHAT NOISE)
34211170,729651,293578,auction,,,,,fail,Humming Noise and Belt Noise
34211460,730387,293590,auction,,,,,fail,engine got abnormal noise can't rectify
34211834,729336,293560,auction,,,,,fail,HUMMING NOISE
34214416,731723,293620,auction,fail,Hard To Start,fail,Idling Unstable,fail,ABNORMAL NOISE
34215555,732027,293597,auction,,,,,fail,HUMMING NOISE
34219160,730310,293655,auction,,,,,fail,ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34219609,731930,293630,auction,,,,,fail,HUMMING NOISE
34219822,722790,293658,auction,,,,,fail,"BELT NOISE , TICKING NOISE"
34223363,729632,293701,auction,,,fail,VIBRATE,fail,ABNORMAL NOISE
34232384,731167,293731,auction,,,fail,UNSTABLE,fail,KNOCKING NOISE
34232771,732384,293770,auction,,,,,fail,ABNORMAL NOISE
34252639,730694,293112,auction,,,,,fail,KNOCKING NOISE
34256548,732511,293997,auction,fail,Hard To Start,,,fail,Belt Noise
34264175,729476,294053,auction,,,fail,Idling Unstable,,
34264747,728873,294062,auction,,,fail,IDLING UNSTABLE,fail,KNOCKING NOISE AND ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34264865,729520,294064,auction,,,,,fail,Belt Noise
34265537,732827,294069,auction,,,,,fail,Belt Noise
34266872,723640,294070,auction,,,,,fail,rough noise & abnormal noise
34266894,723640,294070,auction,,,,,fail,rough noise & abnormal noise
34267955,728149,294093,auction,,,,,fail,KNOCKING NOISE AND ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34267988,732039,294073,auction,,,,,fail,"BELT NOISE,HUMMING NOISE AND KNOCKING NOISE (SUGGEST REPAIR)"
34268751,733146,294101,auction,,,,,fail,ABNORMAL NOISE
34271587,728147,294130,auction,fail,HARD TO START,,,fail,ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34271913,732897,294126,auction,,,,,fail,BELT AND TENSIONER NOISE
34273645,733204,294157,auction,fail,Hard To Start,,,fail,Knocking Noise
34274996,730431,294175,auction,,,,,fail,Knocking Noise
34275639,728150,294187,auction,,,fail,IDLING UNSTABLE,fail,ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34275707,731648,294188,auction,,,,,fail,GOT SQUEEKING NOISE ( CANNOT JUSTIFY WHAT NOISE )
34275988,732239,294190,auction,,,,,fail,ABNORMAL NOISE
34276808,729761,294094,auction,,,,,fail,ABNORMAL NOISE
34277571,733043,294204,auction,,,,,fail,ABNORMAL NOISE CANNOT IDENTIFY WHAT NOISE
34280142,732512,294239,auction,,,fail,ABNORMAL VIBRATE,fail,ABNORMAL NOISE
34281444,732323,294249,auction,,,,,fail,ABNORMAL NOISE
34284045,729831,294266,auction,,,fail,Idling Unstable,,
34293670,733565,294339,auction,,,,,fail,HUMMING NOISE
34295059,730765,294376,auction,fail,HARD TO START,,,fail,SQUEEKS NOISE AND ROUGH
34295391,731394,294383,auction,,,fail,Idling Unstable,fail,ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34298377,733246,294382,auction,,,,,fail,rough noise & ticking noise
34301579,725137,294424,auction,,,,,fail,got noise can’t identify what noise
34302863,732993,294464,auction,,,,,fail,ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
34304558,726752,294475,auction,,,,,fail,ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
34309157,729269,294517,auction,,,,,fail,WHISSING NOISE
34310710,731726,294488,auction,fail,Hard To Start,fail,Idling Unstable,fail,"BELT NOISE,HUMMING NOISE AND KNOCKING NOISE (SUGGEST REPAIR)"
34315231,733242,294553,auction,,,,,fail,"abnormal noise , ticking noise"
34318900,733385,294315,auction,fail,Hard To Start,fail,Idling Unstable AND MISSFIRING,fail,ABNORMAL NOISE (CANOT JUSTIFY WHAT NOISE)
34322378,733397,294561,auction,,,,,fail,KNOCKING
34326316,732870,294657,auction,,,,,fail,HUMMING NOISE
34328414,733836,294674,auction,,,,,fail,HUMMING NOISE
34339533,733898,294585,auction,,,,,fail,ABNORMAL NOISE
34351163,729606,294862,auction,,,,,fail,KNOCKING NOISE AND ABNORMAL NOISE (CANT JUSTIFIED WHAT NOISE)
